;DATE;T2M;PRECTOT;RH2M
327;2000-11-23;26.8;8.29;81.23
328;2000-11-24;25.6;11.11;89.59
329;2000-11-25;25.83;9.15;86.97
330;2000-11-26;25.96;15.04;85.88
331;2000-11-27;25.54;26.09;87.58
332;2000-11-28;25.8;13.83;86.02
333;2000-11-29;25.74;42.04;88.22
334;2000-11-30;26.01;13.36;88.6
335;2000-12-01;25.89;12.48;88.63
336;2000-12-02;25.53;39.01;87.4
337;2000-12-03;25.38;50.67;88.07
338;2000-12-04;25.94;19.69;85.93
339;2000-12-05;26.36;5.44;84.63
340;2000-12-06;26.71;10.35;84.24
341;2000-12-07;26.71;4.13;82.98
342;2000-12-08;26.23;4.23;86.79
343;2000-12-09;25.92;2.73;88.45
344;2000-12-10;25.92;0.87;86.13
345;2000-12-11;25.85;0.6;86.59
346;2000-12-12;25.0;7.33;89.21
347;2000-12-13;25.4;9.96;88.22
348;2000-12-14;25.26;21.71;88.73
349;2000-12-15;25.02;14.76;89.46
350;2000-12-16;25.4;4.54;86.89
351;2000-12-17;25.58;3.0;86.23
352;2000-12-18;25.88;6.04;86.79
353;2000-12-19;26.36;0.99;84.67
354;2000-12-20;25.92;2.58;88.74
355;2000-12-21;25.44;4.85;89.96
356;2000-12-22;25.47;8.0;87.54
357;2000-12-23;25.94;6.55;87.03
358;2000-12-24;26.0;3.67;87.36
359;2000-12-25;25.09;14.99;91.05
360;2000-12-26;24.99;3.8;89.58
361;2000-12-27;25.61;1.06;85.2
362;2000-12-28;25.48;0.81;87.82
363;2000-12-29;26.7;0.79;82.92
364;2000-12-30;26.73;0.49;81.52
365;2000-12-31;26.76;0.86;79.34
366;2001-01-01;26.9;0.53;76.44
367;2001-01-02;27.01;0.28;75.23
368;2001-01-03;25.9;2.33;88.12
369;2001-01-04;25.47;28.05;86.77
370;2001-01-05;25.14;21.48;89.03
371;2001-01-06;24.76;11.18;90.54
372;2001-01-07;25.41;8.06;87.71
373;2001-01-08;25.1;31.04;91.07
374;2001-01-09;25.31;53.03;91.35
375;2001-01-10;25.36;60.12;91.04
376;2001-01-11;24.95;41.06;92.12
377;2001-01-12;24.8;14.31;89.62
378;2001-01-13;25.56;8.28;85.57
379;2001-01-14;25.25;8.06;86.75
380;2001-01-15;25.24;9.99;90.88
381;2001-01-16;24.8;25.92;91.06
382;2001-01-17;25.24;5.43;90.0
383;2001-01-18;25.19;4.97;88.72
384;2001-01-19;25.2;27.12;91.07
385;2001-01-20;25.17;8.24;88.16
386;2001-01-21;25.18;20.59;89.04
387;2001-01-22;25.26;7.76;90.61
388;2001-01-23;25.86;8.43;86.38
389;2001-01-24;25.95;7.63;85.5
390;2001-01-25;26.19;2.99;84.11
391;2001-01-26;26.41;2.06;82.73
392;2001-01-27;25.94;14.68;85.86
393;2001-01-28;25.35;13.98;90.94
394;2001-01-29;25.31;24.88;91.23
395;2001-01-30;25.29;6.39;90.18
396;2001-01-31;25.42;5.29;89.24
397;2001-02-01;25.91;24.6;86.71
398;2001-02-02;24.91;106.98;92.03
399;2001-02-03;24.68;22.71;91.76
400;2001-02-04;25.23;22.78;90.45
401;2001-02-05;25.01;34.3;90.42
402;2001-02-06;25.22;9.68;89.12
403;2001-02-07;25.14;21.6;91.41
404;2001-02-08;25.32;27.99;91.82
405;2001-02-09;25.07;19.8;92.47
406;2001-02-10;25.23;5.17;90.27
407;2001-02-11;25.6;1.1;87.94
408;2001-02-12;25.42;0.8;89.34
409;2001-02-13;25.34;2.35;89.39
410;2001-02-14;25.43;1.75;88.7
411;2001-02-15;25.72;3.49;88.88
412;2001-02-16;24.92;12.46;90.69
413;2001-02-17;25.05;15.3;91.36
414;2001-02-18;24.97;20.33;91.25
415;2001-02-19;24.98;22.59;91.41
416;2001-02-20;25.31;21.52;89.8
417;2001-02-21;25.31;4.19;90.31
418;2001-02-22;25.66;0.42;86.16
419;2001-02-23;25.38;3.49;87.58
420;2001-02-24;25.52;1.76;85.26
421;2001-02-25;25.42;5.13;86.76
422;2001-02-26;26.53;1.53;80.74
423;2001-02-27;25.9;0.71;85.06
424;2001-02-28;25.92;0.77;86.87
425;2001-03-01;25.61;5.39;88.31
426;2001-03-02;25.89;8.93;88.75
427;2001-03-03;25.35;32.84;92.26
428;2001-03-04;25.11;58.03;92.69
429;2001-03-05;25.05;15.79;91.35
430;2001-03-06;25.02;18.8;91.12
431;2001-03-07;24.99;17.0;91.84
432;2001-03-08;24.99;4.16;90.51
433;2001-03-09;25.53;2.31;87.61
434;2001-03-10;25.62;3.8;88.6
435;2001-03-11;25.43;14.38;90.4
436;2001-03-12;24.92;21.13;92.73
437;2001-03-13;24.69;9.19;89.34
438;2001-03-14;25.83;0.77;81.41
439;2001-03-15;25.29;3.03;86.84
440;2001-03-16;25.36;5.04;86.43
441;2001-03-17;25.31;10.27;88.1
442;2001-03-18;25.48;17.36;90.41
443;2001-03-19;25.39;7.6;87.94
444;2001-03-20;25.16;8.08;89.06
445;2001-03-21;25.76;6.08;88.58
446;2001-03-22;25.7;3.97;82.54
447;2001-03-23;26.95;0.81;77.24
448;2001-03-24;26.09;3.62;84.93
449;2001-03-25;25.49;4.46;88.09
450;2001-03-26;26.43;0.68;80.5
451;2001-03-27;26.27;3.71;83.34
452;2001-03-28;26.17;2.22;83.49
453;2001-03-29;25.98;3.23;84.27
454;2001-03-30;26.34;1.35;80.97
455;2001-03-31;26.94;1.75;79.92
456;2001-04-01;26.28;11.34;84.95
457;2001-04-02;25.98;4.64;84.14
458;2001-04-03;26.52;1.45;83.61
459;2001-04-04;26.97;6.51;82.67
460;2001-04-05;25.47;5.16;90.66
461;2001-04-06;25.6;2.44;86.47
462;2001-04-07;26.06;2.69;86.65
463;2001-04-08;26.33;15.29;86.94
464;2001-04-09;25.55;5.71;91.0
465;2001-04-10;25.2;5.65;89.97
466;2001-04-11;25.89;8.42;84.5
467;2001-04-12;26.45;6.3;82.76
468;2001-04-13;25.62;3.34;86.27
469;2001-04-14;25.76;4.07;84.3
470;2001-04-15;24.75;8.93;89.45
471;2001-04-16;26.22;1.88;80.55
472;2001-04-17;26.6;2.43;80.73
473;2001-04-18;25.71;1.8;84.97
474;2001-04-19;26.22;0.63;79.98
475;2001-04-20;25.98;0.97;87.21
476;2001-04-21;26.94;2.5;84.32
477;2001-04-22;26.54;3.05;85.46
478;2001-04-23;26.11;3.88;87.1
479;2001-04-24;26.23;4.94;87.8
480;2001-04-25;26.73;8.16;85.94
481;2001-04-26;26.83;0.47;82.04
482;2001-04-27;26.02;3.45;89.43
483;2001-04-28;26.13;13.57;91.55
484;2001-04-29;26.21;21.01;89.03
485;2001-04-30;26.65;3.36;84.55
486;2001-05-01;26.31;7.66;86.21
487;2001-05-02;26.35;3.43;83.02
488;2001-05-03;26.02;12.68;88.11
489;2001-05-04;26.53;0.71;84.95
490;2001-05-05;27.13;1.11;79.39
491;2001-05-06;26.94;0.27;77.23
492;2001-05-07;27.05;0.36;79.65
493;2001-05-08;26.81;0.44;80.47
494;2001-05-09;26.5;0.36;81.44
495;2001-05-10;26.49;0.13;80.04
496;2001-05-11;26.41;0.04;78.71
497;2001-05-12;26.57;0.11;79.47
498;2001-05-13;26.47;0.21;79.14
499;2001-05-14;26.42;0.4;82.0
500;2001-05-15;26.15;1.29;86.26
501;2001-05-16;26.56;0.55;83.08
502;2001-05-17;26.49;1.33;82.1
503;2001-05-18;26.56;0.83;81.0
504;2001-05-19;26.32;0.98;82.13
505;2001-05-20;26.32;0.42;80.06
506;2001-05-21;26.17;0.34;80.15
507;2001-05-22;26.39;0.12;79.71
508;2001-05-23;26.19;0.33;80.8
509;2001-05-24;25.94;0.81;83.24
510;2001-05-25;25.47;3.52;89.87
511;2001-05-26;26.07;1.46;85.29
512;2001-05-27;26.03;0.28;80.0
513;2001-05-28;25.92;0.2;80.38
514;2001-05-29;25.4;6.02;88.29
515;2001-05-30;25.76;18.7;87.55
516;2001-05-31;25.17;7.08;90.43
517;2001-06-01;25.22;3.23;88.06
518;2001-06-02;26.12;1.18;85.46
519;2001-06-03;25.93;7.35;87.74
520;2001-06-04;25.66;9.65;88.69
521;2001-06-05;25.91;9.22;87.39
522;2001-06-06;26.11;2.66;86.22
523;2001-06-07;26.09;5.03;87.31
524;2001-06-08;25.63;3.69;89.1
525;2001-06-09;25.28;24.24;88.84
526;2001-06-10;25.54;8.93;82.54
527;2001-06-11;26.04;0.24;78.76
528;2001-06-12;26.15;0.71;84.77
529;2001-06-13;26.1;3.09;84.74
530;2001-06-14;25.67;3.32;85.99
531;2001-06-15;25.86;4.06;85.65
532;2001-06-16;25.83;1.18;82.11
533;2001-06-17;25.35;0.85;78.01
534;2001-06-18;24.87;0.09;76.21
535;2001-06-19;25.1;0.6;81.41
536;2001-06-20;24.41;7.29;89.57
537;2001-06-21;25.57;8.69;81.43
538;2001-06-22;25.2;0.5;84.85
539;2001-06-23;25.74;0.14;81.91
540;2001-06-24;25.47;0.73;84.76
541;2001-06-25;25.16;0.71;86.84
542;2001-06-26;25.56;0.9;84.41
543;2001-06-27;25.8;2.11;83.42
544;2001-06-28;25.41;1.55;86.27
545;2001-06-29;25.41;0.56;80.84
546;2001-06-30;25.02;0.05;78.63
547;2001-07-01;24.55;0.02;76.8
548;2001-07-02;23.97;0.03;77.03
549;2001-07-03;23.55;0.04;78.22
550;2001-07-04;23.78;0.01;69.43
551;2001-07-05;24.42;0.0;66.66
552;2001-07-06;24.56;0.0;77.59
553;2001-07-07;25.27;0.01;78.77
554;2001-07-08;25.8;0.03;79.08
555;2001-07-09;25.53;0.0;78.96
556;2001-07-10;25.88;0.02;77.66
557;2001-07-11;25.68;0.05;77.8
558;2001-07-12;25.41;0.05;77.09
559;2001-07-13;25.66;0.76;76.47
560;2001-07-14;25.87;0.82;78.85
561;2001-07-15;25.86;0.57;79.73
562;2001-07-16;26.17;0.03;76.33
563;2001-07-17;26.17;0.03;74.33
564;2001-07-18;25.94;0.01;75.61
565;2001-07-19;25.97;0.17;75.92
566;2001-07-20;25.87;0.28;79.75
567;2001-07-21;26.12;0.13;76.7
568;2001-07-22;26.22;0.29;76.96
569;2001-07-23;25.86;0.85;81.16
570;2001-07-24;25.84;0.26;78.19
571;2001-07-25;25.73;0.4;76.27
572;2001-07-26;25.76;0.41;75.03
573;2001-07-27;25.37;2.03;78.81
574;2001-07-28;25.46;0.83;76.27
575;2001-07-29;25.35;0.07;74.25
576;2001-07-30;25.81;0.34;74.03
577;2001-07-31;25.68;1.03;78.48
578;2001-08-01;25.38;0.93;75.75
579;2001-08-02;25.32;0.22;72.24
580;2001-08-03;24.76;0.01;72.2
581;2001-08-04;24.94;0.04;72.25
582;2001-08-05;25.14;0.1;73.5
583;2001-08-06;25.2;0.8;74.9
584;2001-08-07;25.57;1.06;76.14
585;2001-08-08;26.14;0.39;73.27
586;2001-08-09;26.3;0.19;71.46
587;2001-08-10;25.51;0.0;72.29
588;2001-08-11;25.24;0.0;64.49
589;2001-08-12;25.31;0.0;67.09
590;2001-08-13;25.6;0.0;68.14
591;2001-08-14;26.34;0.0;71.36
592;2001-08-15;25.96;0.0;70.09
593;2001-08-16;25.76;0.0;70.28
594;2001-08-17;25.68;0.0;70.92
595;2001-08-18;25.58;0.0;69.56
596;2001-08-19;25.8;0.0;68.98
597;2001-08-20;25.97;0.0;71.1
598;2001-08-21;26.53;0.0;69.62
599;2001-08-22;26.47;0.0;69.25
600;2001-08-23;26.19;0.0;67.07
601;2001-08-24;26.21;0.0;69.59
602;2001-08-25;26.29;0.0;69.87
603;2001-08-26;26.21;0.0;66.13
604;2001-08-27;26.33;0.0;67.49
605;2001-08-28;26.66;0.03;69.52
606;2001-08-29;26.78;0.0;68.51
607;2001-08-30;27.02;0.0;67.03
608;2001-08-31;27.09;0.0;66.61
609;2001-09-01;26.89;0.0;66.03
610;2001-09-02;26.94;0.0;67.67
611;2001-09-03;26.6;0.0;70.57
612;2001-09-04;27.05;0.03;67.83
613;2001-09-05;27.28;0.47;67.21
614;2001-09-06;27.26;0.42;68.91
615;2001-09-07;27.11;0.03;69.42
616;2001-09-08;26.71;0.04;67.36
617;2001-09-09;26.8;0.43;70.03
618;2001-09-10;26.55;0.88;74.07
619;2001-09-11;27.24;0.92;71.4
620;2001-09-12;26.79;4.01;76.69
621;2001-09-13;27.0;0.13;69.2
622;2001-09-14;27.16;0.12;68.04
623;2001-09-15;27.64;0.33;69.77
624;2001-09-16;27.53;0.05;69.88
625;2001-09-17;27.72;0.0;65.99
626;2001-09-18;27.43;0.0;64.04
627;2001-09-19;27.07;0.0;62.65
628;2001-09-20;27.49;0.16;67.31
629;2001-09-21;27.85;0.25;65.09
630;2001-09-22;27.13;1.07;70.78
631;2001-09-23;27.1;3.95;73.9
632;2001-09-24;27.51;1.04;71.04
633;2001-09-25;28.06;0.08;64.84
634;2001-09-26;28.09;0.43;63.15
635;2001-09-27;27.98;0.74;66.33
636;2001-09-28;27.79;1.09;69.74
637;2001-09-29;27.02;14.45;76.97
638;2001-09-30;25.53;42.15;86.62
639;2001-10-01;25.74;23.01;81.71
640;2001-10-02;26.93;1.11;71.02
641;2001-10-03;27.1;0.15;69.87
642;2001-10-04;27.12;0.0;67.66
643;2001-10-05;27.15;0.01;69.37
644;2001-10-06;27.26;0.0;68.62
645;2001-10-07;27.68;0.0;66.12
