DATE,T2M,PRECTOT,RH2M
5/6/2001,0.557347565,-0.582027048,-0.280821024
5/7/2001,0.662445573,-0.571544035,0.009239712
5/8/2001,0.433140828,-0.562225802,0.107524755
5/9/2001,0.136955532,-0.571544035,0.223788769
5/10/2001,0.127401168,-0.598333958,0.055985037
5/11/2001,0.050966253,-0.608816971,-0.103428508
5/12/2001,0.203836083,-0.600663516,-0.012335054
5/13/2001,0.108292439,-0.589015724,-0.05188879
5/14/2001,0.060520617,-0.566884919,0.290910262
5/15/2001,-0.197447222,-0.463219567,0.801513045
5/16/2001,0.194281718,-0.54941323,0.420358855
5/17/2001,0.127401168,-0.45856045,0.302896242
5/18/2001,0.194281718,-0.516799412,0.171050453
5/19/2001,-0.035023027,-0.499327723,0.306492037
5/20/2001,-0.035023027,-0.56455536,0.058382233
5/21/2001,-0.178338493,-0.573873594,0.069169616
5/22/2001,0.031857524,-0.599498737,0.0164313
5/23/2001,-0.159229764,-0.575038373,0.147078492
5/24/2001,-0.398088874,-0.51912897,0.439536424
5/25/2001,-0.847144,-0.203473799,1.234206953
5/26/2001,-0.273882137,-0.44341832,0.685249031
5/27/2001,-0.312099594,-0.580862269,0.051190645
5/28/2001,-0.417197602,-0.590180503,0.096737372
5/29/2001,-0.914024551,0.087721008,1.044828456
5/30/2001,-0.570067433,1.564661071,0.956132198
5/31/2001,-1.133774932,0.211187607,1.301328446
6/1/2001,-1.08600311,-0.237252397,1.0172607
6/2/2001,-0.226110315,-0.476032139,0.705625198
6/3/2001,-0.407643238,0.242636646,0.978905561
6/4/2001,-0.665611077,0.510535868,1.092772379
6/5/2001,-0.426751967,0.460450362,0.936954628
