LAT,LON,DATE,PRECTOT
-4.96019,119.56881,10/17/2000,1.45
-4.96019,119.56881,10/18/2000,2.48
-4.96019,119.56881,10/19/2000,1.26
-4.96019,119.56881,10/20/2000,4.66
-4.96019,119.56881,10/21/2000,8.16
-4.96019,119.56881,10/22/2000,26.4
-4.96019,119.56881,10/23/2000,4.04
-4.96019,119.56881,10/24/2000,1.9
-4.96019,119.56881,10/25/2000,2.67
-4.96019,119.56881,10/26/2000,4.56
-4.96019,119.56881,10/27/2000,0.18
-4.96019,119.56881,10/28/2000,0.15
-4.96019,119.56881,10/29/2000,0.08
-4.96019,119.56881,10/30/2000,0.51
-4.96019,119.56881,10/31/2000,4.12
-4.96019,119.56881,11/1/2000,0.86
-4.96019,119.56881,11/2/2000,2.91
-4.96019,119.56881,11/3/2000,2.48
-4.96019,119.56881,11/4/2000,4.56
-4.96019,119.56881,11/5/2000,2.61
-4.96019,119.56881,11/6/2000,2.49
-4.96019,119.56881,11/7/2000,3.42
-4.96019,119.56881,11/8/2000,0.94
-4.96019,119.56881,11/9/2000,1.27
-4.96019,119.56881,11/10/2000,2.66
-4.96019,119.56881,11/11/2000,6.73
-4.96019,119.56881,11/12/2000,2.49
-4.96019,119.56881,11/13/2000,0.77
-4.96019,119.56881,11/14/2000,1.81
-4.96019,119.56881,11/15/2000,3.8
-4.96019,119.56881,11/16/2000,6.03
-4.96019,119.56881,11/17/2000,3.54
-4.96019,119.56881,11/18/2000,1.71
-4.96019,119.56881,11/19/2000,3.28
-4.96019,119.56881,11/20/2000,5.53
-4.96019,119.56881,11/21/2000,2.92
-4.96019,119.56881,11/22/2000,4.08
-4.96019,119.56881,11/23/2000,8.29
-4.96019,119.56881,11/24/2000,11.11
-4.96019,119.56881,11/25/2000,9.15
-4.96019,119.56881,11/26/2000,15.04
-4.96019,119.56881,11/27/2000,26.09
-4.96019,119.56881,11/28/2000,13.83
-4.96019,119.56881,11/29/2000,42.04
-4.96019,119.56881,11/30/2000,13.36
-4.96019,119.56881,12/1/2000,12.48
-4.96019,119.56881,12/2/2000,39.01
-4.96019,119.56881,12/3/2000,50.67
-4.96019,119.56881,12/4/2000,19.69
-4.96019,119.56881,12/5/2000,5.44
-4.96019,119.56881,12/6/2000,10.35
-4.96019,119.56881,12/7/2000,4.13
-4.96019,119.56881,12/8/2000,4.23
-4.96019,119.56881,12/9/2000,2.73
-4.96019,119.56881,12/10/2000,0.87
-4.96019,119.56881,12/11/2000,0.6
-4.96019,119.56881,12/12/2000,7.33
-4.96019,119.56881,12/13/2000,9.96
-4.96019,119.56881,12/14/2000,21.71
-4.96019,119.56881,12/15/2000,14.76
-4.96019,119.56881,12/16/2000,4.54
-4.96019,119.56881,12/17/2000,3
-4.96019,119.56881,12/18/2000,6.04
-4.96019,119.56881,12/19/2000,0.99
-4.96019,119.56881,12/20/2000,2.58
-4.96019,119.56881,12/21/2000,4.85
-4.96019,119.56881,12/22/2000,8
-4.96019,119.56881,12/23/2000,6.55
-4.96019,119.56881,12/24/2000,3.67
-4.96019,119.56881,12/25/2000,14.99
-4.96019,119.56881,12/26/2000,3.8
-4.96019,119.56881,12/27/2000,1.06
-4.96019,119.56881,12/28/2000,0.81
-4.96019,119.56881,12/29/2000,0.79
-4.96019,119.56881,12/30/2000,0.49
-4.96019,119.56881,12/31/2000,0.86
-4.96019,119.56881,1/1/2001,0.53
-4.96019,119.56881,1/2/2001,0.28
-4.96019,119.56881,1/3/2001,2.33
-4.96019,119.56881,1/4/2001,28.05
-4.96019,119.56881,1/5/2001,21.48
-4.96019,119.56881,1/6/2001,11.18
-4.96019,119.56881,1/7/2001,8.06
-4.96019,119.56881,1/8/2001,31.04
-4.96019,119.56881,1/9/2001,53.03
-4.96019,119.56881,1/10/2001,60.12
-4.96019,119.56881,1/11/2001,41.06
-4.96019,119.56881,1/12/2001,14.31
-4.96019,119.56881,1/13/2001,8.28
-4.96019,119.56881,1/14/2001,8.06
-4.96019,119.56881,1/15/2001,9.99
-4.96019,119.56881,1/16/2001,25.92
-4.96019,119.56881,1/17/2001,5.43
-4.96019,119.56881,1/18/2001,4.97
-4.96019,119.56881,1/19/2001,27.12
-4.96019,119.56881,1/20/2001,8.24
-4.96019,119.56881,1/21/2001,20.59
-4.96019,119.56881,1/22/2001,7.76
-4.96019,119.56881,1/23/2001,8.43
-4.96019,119.56881,1/24/2001,7.63
-4.96019,119.56881,1/25/2001,2.99
-4.96019,119.56881,1/26/2001,2.06
-4.96019,119.56881,1/27/2001,14.68
-4.96019,119.56881,1/28/2001,13.98
-4.96019,119.56881,1/29/2001,24.88
-4.96019,119.56881,1/30/2001,6.39
-4.96019,119.56881,1/31/2001,5.29
-4.96019,119.56881,2/1/2001,24.6
-4.96019,119.56881,2/2/2001,106.98
-4.96019,119.56881,2/3/2001,22.71
-4.96019,119.56881,2/4/2001,22.78
-4.96019,119.56881,2/5/2001,34.3
-4.96019,119.56881,2/6/2001,9.68
-4.96019,119.56881,2/7/2001,21.6
-4.96019,119.56881,2/8/2001,27.99
-4.96019,119.56881,2/9/2001,19.8
-4.96019,119.56881,2/10/2001,5.17
-4.96019,119.56881,2/11/2001,1.1
-4.96019,119.56881,2/12/2001,0.8
-4.96019,119.56881,2/13/2001,2.35
-4.96019,119.56881,2/14/2001,1.75
-4.96019,119.56881,2/15/2001,3.49
-4.96019,119.56881,2/16/2001,12.46
-4.96019,119.56881,2/17/2001,15.3
-4.96019,119.56881,2/18/2001,20.33
-4.96019,119.56881,2/19/2001,22.59
-4.96019,119.56881,2/20/2001,21.52
-4.96019,119.56881,2/21/2001,4.19
-4.96019,119.56881,2/22/2001,0.42
-4.96019,119.56881,2/23/2001,3.49
-4.96019,119.56881,2/24/2001,1.76
-4.96019,119.56881,2/25/2001,5.13
-4.96019,119.56881,2/26/2001,1.53
-4.96019,119.56881,2/27/2001,0.71
-4.96019,119.56881,2/28/2001,0.77
-4.96019,119.56881,3/1/2001,5.39
-4.96019,119.56881,3/2/2001,8.93
-4.96019,119.56881,3/3/2001,32.84
-4.96019,119.56881,3/4/2001,58.03
-4.96019,119.56881,3/5/2001,15.79
-4.96019,119.56881,3/6/2001,18.8
-4.96019,119.56881,3/7/2001,17
-4.96019,119.56881,3/8/2001,4.16
-4.96019,119.56881,3/9/2001,2.31
-4.96019,119.56881,3/10/2001,3.8
-4.96019,119.56881,3/11/2001,14.38
-4.96019,119.56881,3/12/2001,21.13
-4.96019,119.56881,3/13/2001,9.19
-4.96019,119.56881,3/14/2001,0.77
-4.96019,119.56881,3/15/2001,3.03
-4.96019,119.56881,3/16/2001,5.04
-4.96019,119.56881,3/17/2001,10.27
-4.96019,119.56881,3/18/2001,17.36
-4.96019,119.56881,3/19/2001,7.6
-4.96019,119.56881,3/20/2001,8.08
-4.96019,119.56881,3/21/2001,6.08
-4.96019,119.56881,3/22/2001,3.97
-4.96019,119.56881,3/23/2001,0.81
-4.96019,119.56881,3/24/2001,3.62
-4.96019,119.56881,3/25/2001,4.46
-4.96019,119.56881,3/26/2001,0.68
-4.96019,119.56881,3/27/2001,3.71
-4.96019,119.56881,3/28/2001,2.22
-4.96019,119.56881,3/29/2001,3.23
-4.96019,119.56881,3/30/2001,1.35
-4.96019,119.56881,3/31/2001,1.75
-4.96019,119.56881,4/1/2001,11.34
-4.96019,119.56881,4/2/2001,4.64
-4.96019,119.56881,4/3/2001,1.45
-4.96019,119.56881,4/4/2001,6.51
-4.96019,119.56881,4/5/2001,5.16
-4.96019,119.56881,4/6/2001,2.44
-4.96019,119.56881,4/7/2001,2.69
-4.96019,119.56881,4/8/2001,15.29
-4.96019,119.56881,4/9/2001,5.71
-4.96019,119.56881,4/10/2001,5.65
-4.96019,119.56881,4/11/2001,8.42
-4.96019,119.56881,4/12/2001,6.3
-4.96019,119.56881,4/13/2001,3.34
-4.96019,119.56881,4/14/2001,4.07
-4.96019,119.56881,4/15/2001,8.93
-4.96019,119.56881,4/16/2001,1.88
-4.96019,119.56881,4/17/2001,2.43
-4.96019,119.56881,4/18/2001,1.8
-4.96019,119.56881,4/19/2001,0.63
-4.96019,119.56881,4/20/2001,0.97
-4.96019,119.56881,4/21/2001,2.5
-4.96019,119.56881,4/22/2001,3.05
-4.96019,119.56881,4/23/2001,3.88
-4.96019,119.56881,4/24/2001,4.94
-4.96019,119.56881,4/25/2001,8.16
-4.96019,119.56881,4/26/2001,0.47
-4.96019,119.56881,4/27/2001,3.45
-4.96019,119.56881,4/28/2001,13.57
-4.96019,119.56881,4/29/2001,21.01
-4.96019,119.56881,4/30/2001,3.36
-4.96019,119.56881,5/1/2001,7.66
-4.96019,119.56881,5/2/2001,3.43
-4.96019,119.56881,5/3/2001,12.68
-4.96019,119.56881,5/4/2001,0.71
-4.96019,119.56881,5/5/2001,1.11
-4.96019,119.56881,5/6/2001,0.27
-4.96019,119.56881,5/7/2001,0.36
-4.96019,119.56881,5/8/2001,0.44
-4.96019,119.56881,5/9/2001,0.36
-4.96019,119.56881,5/10/2001,0.13
-4.96019,119.56881,5/11/2001,0.04
-4.96019,119.56881,5/12/2001,0.11
-4.96019,119.56881,5/13/2001,0.21
-4.96019,119.56881,5/14/2001,0.4
-4.96019,119.56881,5/15/2001,1.29
-4.96019,119.56881,5/16/2001,0.55
-4.96019,119.56881,5/17/2001,1.33
-4.96019,119.56881,5/18/2001,0.83
-4.96019,119.56881,5/19/2001,0.98
-4.96019,119.56881,5/20/2001,0.42
-4.96019,119.56881,5/21/2001,0.34
-4.96019,119.56881,5/22/2001,0.12
-4.96019,119.56881,5/23/2001,0.33
-4.96019,119.56881,5/24/2001,0.81
-4.96019,119.56881,5/25/2001,3.52
-4.96019,119.56881,5/26/2001,1.46
-4.96019,119.56881,5/27/2001,0.28
-4.96019,119.56881,5/28/2001,0.2
-4.96019,119.56881,5/29/2001,6.02
-4.96019,119.56881,5/30/2001,18.7
-4.96019,119.56881,5/31/2001,7.08
-4.96019,119.56881,6/1/2001,3.23
-4.96019,119.56881,6/2/2001,1.18
-4.96019,119.56881,6/3/2001,7.35
-4.96019,119.56881,6/4/2001,9.65
-4.96019,119.56881,6/5/2001,9.22
-4.96019,119.56881,6/6/2001,2.66
-4.96019,119.56881,6/7/2001,5.03
-4.96019,119.56881,6/8/2001,3.69
-4.96019,119.56881,6/9/2001,24.24
-4.96019,119.56881,6/10/2001,8.93
