LAT,LON,DATE,T2M,PRECTOT,RH2M
-5.04629,119.68471,11/13/2000,27.69,0.71,75.32
-5.04629,119.68471,11/14/2000,27.61,1.56,76.71
-5.04629,119.68471,11/15/2000,27.34,2.89,78.46
-5.04629,119.68471,11/16/2000,26.8,5.01,83.41
-5.04629,119.68471,11/17/2000,26.9,2.86,80.83
-5.04629,119.68471,11/18/2000,27.6,1.39,76.17
-5.04629,119.68471,11/19/2000,27.85,1.89,72.75
-5.04629,119.68471,11/20/2000,26.6,3.64,79.74
-5.04629,119.68471,11/21/2000,25.8,2.38,84.43
-5.04629,119.68471,11/22/2000,27.18,2.8,76.31
-5.04629,119.68471,11/23/2000,26.94,5.82,80.02
-5.04629,119.68471,11/24/2000,25.81,7.26,85.93
-5.04629,119.68471,11/25/2000,26.06,8.26,85.25
-5.04629,119.68471,11/26/2000,25.93,15.93,85.29
-5.04629,119.68471,11/27/2000,25.8,21.9,85.03
-5.04629,119.68471,11/28/2000,26,15.3,83.42
-5.04629,119.68471,11/29/2000,25.89,47.1,86.35
-5.04629,119.68471,11/30/2000,26.27,12.58,85.92
-5.04629,119.68471,12/1/2000,26.07,12.11,87.06
-5.04629,119.68471,12/2/2000,25.54,29.44,86.2
-5.04629,119.68471,12/3/2000,25.41,46.44,87
-5.04629,119.68471,12/4/2000,26,26.35,84.7
-5.04629,119.68471,12/5/2000,26.47,4.16,82.92
-5.04629,119.68471,12/6/2000,26.75,9.44,83.49
-5.04629,119.68471,12/7/2000,26.76,4.81,82.53
-5.04629,119.68471,12/8/2000,26.24,3.64,86.15
-5.04629,119.68471,12/9/2000,25.98,2.58,87.02
-5.04629,119.68471,12/10/2000,26.14,0.84,84.33
-5.04629,119.68471,12/11/2000,25.93,0.64,85.97
-5.04629,119.68471,12/12/2000,25.32,6,86.43
-5.04629,119.68471,12/13/2000,25.47,11.51,87.1
-5.04629,119.68471,12/14/2000,25.44,18.19,86.85
-5.04629,119.68471,12/15/2000,25.12,20.48,88.12
