LAT,LON,DATE,RH2M
-4.91399,119.84101,1/10/2012,90.2
-4.91399,119.84101,1/11/2012,89.96
-4.91399,119.84101,1/12/2012,88.39
-4.91399,119.84101,1/13/2012,90.07
-4.91399,119.84101,1/14/2012,85.58
-4.91399,119.84101,1/15/2012,88.07
-4.91399,119.84101,1/16/2012,84.49
-4.91399,119.84101,1/17/2012,81.18
-4.91399,119.84101,1/18/2012,80.7
-4.91399,119.84101,1/19/2012,86.06
-4.91399,119.84101,1/20/2012,88.62
-4.91399,119.84101,1/21/2012,89.89
-4.91399,119.84101,1/22/2012,89.63
-4.91399,119.84101,1/23/2012,85.14
-4.91399,119.84101,1/24/2012,88.19
-4.91399,119.84101,1/25/2012,84.78
-4.91399,119.84101,1/26/2012,84.5
-4.91399,119.84101,1/27/2012,82.22
-4.91399,119.84101,1/28/2012,82.34
-4.91399,119.84101,1/29/2012,78.46
-4.91399,119.84101,1/30/2012,82.65
-4.91399,119.84101,1/31/2012,80.63
-4.91399,119.84101,2/1/2012,87.15
-4.91399,119.84101,2/2/2012,89.07
-4.91399,119.84101,2/3/2012,87.73
-4.91399,119.84101,2/4/2012,87.41
-4.91399,119.84101,2/5/2012,84.5
-4.91399,119.84101,2/6/2012,86.33
-4.91399,119.84101,2/7/2012,90.29
-4.91399,119.84101,2/8/2012,87.93
-4.91399,119.84101,2/9/2012,89.59
-4.91399,119.84101,2/10/2012,88.29
-4.91399,119.84101,2/11/2012,84
-4.91399,119.84101,2/12/2012,81.06
-4.91399,119.84101,2/13/2012,79.8
-4.91399,119.84101,2/14/2012,79.63
-4.91399,119.84101,2/15/2012,79.75
-4.91399,119.84101,2/16/2012,88.43
-4.91399,119.84101,2/17/2012,81.17
-4.91399,119.84101,2/18/2012,80.17
-4.91399,119.84101,2/19/2012,91.35
-4.91399,119.84101,2/20/2012,85.48
-4.91399,119.84101,2/21/2012,85.1
-4.91399,119.84101,2/22/2012,76.49
-4.91399,119.84101,2/23/2012,80.64
-4.91399,119.84101,2/24/2012,80.49
-4.91399,119.84101,2/25/2012,80.05
-4.91399,119.84101,2/26/2012,81.02
-4.91399,119.84101,2/27/2012,81.65
-4.91399,119.84101,2/28/2012,88.75
-4.91399,119.84101,2/29/2012,81.58
-4.91399,119.84101,3/1/2012,80.31
-4.91399,119.84101,3/2/2012,90.85
-4.91399,119.84101,3/3/2012,88.4
-4.91399,119.84101,3/4/2012,89.68
-4.91399,119.84101,3/5/2012,88.58
-4.91399,119.84101,3/6/2012,86.62
-4.91399,119.84101,3/7/2012,79.01
-4.91399,119.84101,3/8/2012,80.31
-4.91399,119.84101,3/9/2012,88.17
-4.91399,119.84101,3/10/2012,84.76
-4.91399,119.84101,3/11/2012,84.35
-4.91399,119.84101,3/12/2012,87.9
-4.91399,119.84101,3/13/2012,81.79
-4.91399,119.84101,3/14/2012,81.95
-4.91399,119.84101,3/15/2012,85.43
-4.91399,119.84101,3/16/2012,82.58
-4.91399,119.84101,3/17/2012,86.55
-4.91399,119.84101,3/18/2012,83.14
-4.91399,119.84101,3/19/2012,87.8
-4.91399,119.84101,3/20/2012,89.38
-4.91399,119.84101,3/21/2012,88.65
-4.91399,119.84101,3/22/2012,87.88
-4.91399,119.84101,3/23/2012,85.01
-4.91399,119.84101,3/24/2012,86.76
-4.91399,119.84101,3/25/2012,85.1
-4.91399,119.84101,3/26/2012,85.13
-4.91399,119.84101,3/27/2012,83.15
-4.91399,119.84101,3/28/2012,77.48
-4.91399,119.84101,3/29/2012,82.51
-4.91399,119.84101,3/30/2012,81.04
-4.91399,119.84101,3/31/2012,76.15
-4.91399,119.84101,4/1/2012,85.13
-4.91399,119.84101,4/2/2012,84.45
-4.91399,119.84101,4/3/2012,84.05
-4.91399,119.84101,4/4/2012,81.53
-4.91399,119.84101,4/5/2012,75.12
-4.91399,119.84101,4/6/2012,74.78
-4.91399,119.84101,4/7/2012,76.2
-4.91399,119.84101,4/8/2012,79.28
-4.91399,119.84101,4/9/2012,81.55
-4.91399,119.84101,4/10/2012,81.94
-4.91399,119.84101,4/11/2012,82.52
-4.91399,119.84101,4/12/2012,78.6
-4.91399,119.84101,4/13/2012,78.8
-4.91399,119.84101,4/14/2012,86.45
-4.91399,119.84101,4/15/2012,84.54
-4.91399,119.84101,4/16/2012,81.88
-4.91399,119.84101,4/17/2012,82.16
-4.91399,119.84101,4/18/2012,78.8
-4.91399,119.84101,4/19/2012,79.06
-4.91399,119.84101,4/20/2012,80.98
-4.91399,119.84101,4/21/2012,82.63
-4.91399,119.84101,4/22/2012,78.63
-4.91399,119.84101,4/23/2012,83.54
-4.91399,119.84101,4/24/2012,81.08
-4.91399,119.84101,4/25/2012,81.6
-4.91399,119.84101,4/26/2012,88.88
-4.91399,119.84101,4/27/2012,88.62
-4.91399,119.84101,4/28/2012,78.75
-4.91399,119.84101,4/29/2012,84.09
-4.91399,119.84101,4/30/2012,83.08
-4.91399,119.84101,5/1/2012,83.06
-4.91399,119.84101,5/2/2012,84.01
-4.91399,119.84101,5/3/2012,83.49
-4.91399,119.84101,5/4/2012,87.58
-4.91399,119.84101,5/5/2012,76.78
-4.91399,119.84101,5/6/2012,77.46
-4.91399,119.84101,5/7/2012,78.83
-4.91399,119.84101,5/8/2012,80.6
-4.91399,119.84101,5/9/2012,78.69
-4.91399,119.84101,5/10/2012,81.6
-4.91399,119.84101,5/11/2012,84.09
-4.91399,119.84101,5/12/2012,86.14
-4.91399,119.84101,5/13/2012,79.44
-4.91399,119.84101,5/14/2012,81.52
-4.91399,119.84101,5/15/2012,79.99
