LAT,LON,DATE,T2M,PRECTOT,RH2M
-4.96019,119.56881,8/1/2000,25.3,0.72,82.11
-4.96019,119.56881,8/2/2000,25.1,0.93,78.77
-4.96019,119.56881,8/3/2000,25.06,0.08,76.51
-4.96019,119.56881,8/4/2000,25.02,0.13,77.64
-4.96019,119.56881,8/5/2000,25.49,0.33,77.67
-4.96019,119.56881,8/6/2000,25.39,2.55,82.31
-4.96019,119.56881,8/7/2000,25.34,3.48,82.64
-4.96019,119.56881,8/8/2000,25.45,1.39,80.06
-4.96019,119.56881,8/9/2000,25.36,0.17,76.14
-4.96019,119.56881,8/10/2000,24.87,0.02,73.8
-4.96019,119.56881,8/11/2000,24.49,0.01,73.79
-4.96019,119.56881,8/12/2000,24.93,0.01,73.67
-4.96019,119.56881,8/13/2000,24.68,0.01,74.14
-4.96019,119.56881,8/14/2000,25.3,0.28,78.11
-4.96019,119.56881,8/15/2000,25.76,0.29,76.98
-4.96019,119.56881,8/16/2000,25.51,0.18,74.76
-4.96019,119.56881,8/17/2000,25.41,0.01,71.93
-4.96019,119.56881,8/18/2000,24.95,0.01,73
-4.96019,119.56881,8/19/2000,25.5,0.13,72.14
-4.96019,119.56881,8/20/2000,25.37,0.11,73.55
-4.96019,119.56881,8/21/2000,25.99,0.01,72.31
-4.96019,119.56881,8/22/2000,25.87,0.01,75.45
-4.96019,119.56881,8/23/2000,26.04,0.93,78.06
-4.96019,119.56881,8/24/2000,25.69,1.39,81.42
-4.96019,119.56881,8/25/2000,26.32,1.47,78.55
-4.96019,119.56881,8/26/2000,26.01,0.65,77.6
-4.96019,119.56881,8/27/2000,26.84,0.03,70.28
-4.96019,119.56881,8/28/2000,26.97,0.02,69.71
-4.96019,119.56881,8/29/2000,26.43,0,67.39
-4.96019,119.56881,8/30/2000,26.01,0,68.22
-4.96019,119.56881,8/31/2000,26.26,0.33,71.94
-4.96019,119.56881,9/1/2000,26.75,0.11,72.16
-4.96019,119.56881,9/2/2000,26.73,0.58,73.48
-4.96019,119.56881,9/3/2000,26.86,0,73.78
-4.96019,119.56881,9/4/2000,27.14,0,69.1
-4.96019,119.56881,9/5/2000,26.67,0.06,70.76
-4.96019,119.56881,9/6/2000,26.52,0.05,69.28
-4.96019,119.56881,9/7/2000,26.72,0.02,68.49
-4.96019,119.56881,9/8/2000,26.84,0.22,71.07
-4.96019,119.56881,9/9/2000,26.85,0,66.83
-4.96019,119.56881,9/10/2000,27.12,0,64.95
-4.96019,119.56881,9/11/2000,27.07,0.04,66.52
-4.96019,119.56881,9/12/2000,27.2,0.15,68.79
-4.96019,119.56881,9/13/2000,27.09,0.01,69
-4.96019,119.56881,9/14/2000,26.65,0.03,71.23
